,bus_id,search_name,name,search_address,address_y,max_seats,risk_level,inspect_score,price,cat_1,cat_2,zip_code,latitude,longitude,review_count,rating,closed
24,abc-donuts-los-angeles-4,ABC DONUTS,ABC Donuts,4555 E 3RD ST,4555 E 3RD ST,30,2,96.0,$,donuts,coffee,90063,34.0333687158,-118.194983989,5,4.5,False
25,absolutely-phobulous-west-hollywood,ABSOLUTELY PHOBULOUS,Absolutely Phobulous,350 N LA CIENEGA BLVD,350 N LA CIENEGA BLVD,30,3,90.0,$,vietnamese,vietnamese,90048,34.0774976,-118.3764751,339,3.0,False
26,ackee-bamboo-jamaican-cuisine-los-angeles,ACKEE BAMBOO JAMAICAN CUISIN,Ackee Bamboo Jamaican Cuisine,4305 DEGNAN BLVD,4305 DEGNAN BLVD,30,3,94.0,$$,caribbean,caribbean,90008,34.0057487488,-118.331832886,209,4.0,False
27,addis-ethiopian-restaurant-los-angeles,ADDIS ETHIOPIAN RESTAURANT,Addis Ethiopian Restaurant,1025 S FAIRFAX AVE,1025 S FAIRFAX AVE,60,3,92.0,$,ethiopian,ethiopian,90019,34.0573807,-118.3645172,87,4.0,True
28,lalibela-ethiopian-restaurant-los-angeles,ADDIS LA,Lalibela Ethiopian Restaurant,1025 S FAIRFAX AVE,1025 S FAIRFAX AVE,60,3,91.0,$$,ethiopian,ethiopian,90019,34.057384,-118.364522,133,4.5,False
29,affair-with-my-plate-los-angeles,AFFAIR WITH MY PLATE,Affair With My Plate,11819 WILSHIRE BLVD,11819 WILSHIRE BLVD,30,3,90.0,$$,pizza,italian,90025,34.0481,-118.46312,148,4.5,False
30,agra-cafe-los-angeles-3,AGRA CAFE,Agra Cafe,4325 W SUNSET BLVD,4325 W SUNSET BLVD,150,3,90.0,$$,indpak,indpak,90029,34.0956702,-118.2831484,389,4.0,False
31,ahipoki-bowl-los-angeles-2,AHI POKI,AhiPoki Bowl,3782 S FIGUEROA ST,3782 S FIGUEROA ST,30,3,97.0,$$,seafood,hawaiian,90007,34.0160389245,-118.282705843,72,4.0,False
32,ahi-mahi-fish-grill-los-angeles,AHIMAHI FISH GRILL,Ahi Mahi Fish Grill,5650 MANCHESTER AVE,5650 MANCHESTER AVE,30,2,92.0,$,seafood,cajun,90045,33.9593837995,-118.380345745,66,3.5,False
33,ahipoki-bowl-los-angeles,AHIPOKI BOWL,AhiPoki Bowl,5553 W SUNSET BLVD,5553 W SUNSET BLVD,30,3,97.0,$$,poke,poke,90028,34.0982349,-118.3112366,108,4.0,False
34,ajisen-ramen-los-angeles-2,AJISEN RAMEN,Ajisen Ramen,10250 SANTA MONICA BLVD,10250 SANTA MONICA BLVD,60,3,91.0,$$,ramen,ramen,90067,34.0580611368,-118.419446582,307,3.5,False
35,mashti-malones-ice-cream-los-angeles,AKBAR MASHTI/MASHTI MALONS I,Mashti Malone's Ice Cream,1525 N LA BREA AVE,1525 N LA BREA AVE,30,2,90.0,$,icecream,desserts,90028,34.0987775539,-118.344566653,966,4.5,False
36,aki-restaurant-los-angeles,AKI RESTAURANT,Aki Restaurant,11513 SANTA MONICA BLVD,11513 SANTA MONICA BLVD,150,3,90.0,$$,sushi,japanese,90025,34.045584,-118.452551,144,4.0,False
37,al-and-beas-mexican-food-los-angeles,AL AND BEAS RESTAURANT,Al & Bea's Mexican Food,2025 E 1ST ST,2025 E 1ST ST,30,2,91.0,$,mexican,mexican,90033,34.04534,-118.21398,479,4.0,False
38,al-gelato-los-angeles,AL GELATO,Al Gelato,806 S ROBERTSON BLVD,806 S ROBERTSON BLVD,60,3,93.0,$$,icecream,italian,90035,34.062591,-118.383211,571,4.0,True
39,al-wazir-chicken-los-angeles,AL WAZIR CHICKEN,Al Wazir Chicken,6051 HOLLYWOOD BLVD,6051 HOLLYWOOD BLVD,30,3,90.0,$,mideastern,mediterranean,90028,34.1020317078,-118.321914673,407,4.0,False
40,aladdins-coffee-shop-los-angeles,ALADDIN COFFEE SHOP,Aladdin's Coffee Shop,1150 S HOPE ST,1150 S HOPE ST,30,3,80.0,$,catering,latin,90015,34.04081,-118.2639,101,4.5,False
41,aladin-sweets-and-market-los-angeles,ALADIN SWEETS & MARKET,Aladin Sweets & Market,139 S VERMONT AVE,139 S VERMONT AVE,60,3,90.0,$,indpak,bangladeshi,90004,34.07156,-118.29206,134,3.5,False
42,alameda-swap-meet-los-angeles,ALAMEDA SNACK SHOP,Alameda Swap Meet,4501 S ALAMEDA ST,4501 S ALAMEDA ST,30,2,94.0,$,gourmet,gourmet,90058,34.0024414062,-118.24055481,49,4.0,False
43,albert-mexican-food-los-angeles,ALBERTS MEXICAN FOOD,Albert Mexican Food,5189 ALHAMBRA AVE,5189 ALHAMBRA AVE,30,3,82.0,$,mexican,mexican,90032,34.073438734,-118.172793612,11,4.0,False
44,super-albert-mexican-food-los-angeles,ALBERTS MEXICAN FOOD,Super Albert Mexican Food,5189 ALHAMBRA AVE,5189 ALHAMBRA AVE,30,3,82.0,$,mexican,mexican,90032,34.073539,-118.172843,5,3.0,False
45,albitas-grill-los-angeles,ALBITAS GRILL,Albita's Grill,2851 CRENSHAW BLVD,2851 CRENSHAW BLVD,30,3,95.0,$,mexican,mexican,90016,34.0302801132,-118.335164487,105,5.0,True
46,alcove-cafe-and-bakery-los-angeles,ALCOVE CAFE & BAKERY,Alcove Cafe & Bakery,1929 HILLHURST AVE,1929 HILLHURST AVE,60,3,95.0,$$,bakeries,cafes,90027,34.106215,-118.28776,3451,4.0,False
47,trois-familia-los-angeles,ALEGRIA  MEXICAN FOOD,Trois Familia,3510 W SUNSET BLVD,3510 W SUNSET BLVD,30,3,92.0,$$,breakfast_brunch,french,90026,34.088772,-118.2765986,267,3.5,False
48,alejandras-bakery-los-angeles,ALEJANDRAS BAKERY,Alejandras Bakery,9816 S NORMANDIE AVE,9816 S NORMANDIE AVE,30,2,94.0,$,bakeries,bakeries,90044,33.946182251,-118.299980164,6,5.0,False
49,alejos-presto-trattoria-italian-restaurant-westchester,ALEJOS PRESTO TRATTORIA,Alejos Presto Trattoria Italian Restaurant,8343 LINCOLN BLVD,8343 LINCOLN BLVD,150,3,90.0,$$,italian,pizza,90045,33.9616082,-118.4209981,424,4.0,False
